problem,reference_label,base_model_predicted,base_model_correct,quantized_model_predicted,quantized_model_correct,base_model_time,quantized_model_time
"Sentence1: A BMI of 25 or above is considered overweight ; 30 or above is considered obese . Sentence2: A BMI between 18.5 and 24.9 is considered normal , over 25 is considered overweight and 30 or greater is defined as obese .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.693943023681641,4.463292837142944
"Sentence1: Six months ago , the IMF and Argentina struck a bare-minimum $ 6.8-billion debt rollover deal that expires in August . Sentence2: But six months ago , the two sides managed to strike a $ 6.8-billion debt rollover deal , which expires in August .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5134174823760986,0.474806547164917
"Sentence1: Inhibited children tend to be timid with new people , objects , and situations , while uninhibited children spontaneously approach them . Sentence2: Simply put , shy invividuals tend to be more timid with new people and situations .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5118575096130371,0.47365260124206543
"Sentence1: I wanted to bring the most beautiful people into the most beautiful building , he said Sunday inside the Grand Central concourse . Sentence2: "" I wanted to bring the most beautiful people into the most beautiful building , "" Tunick said Sunday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,2.880537986755371,4.432021141052246
"Sentence1: The broad Standard & Poor 's 500 < .SPX > fell 10.75 points , or 1.02 percent , to 1,039.32 . Sentence2: The S & P 500 index was up 1.26 , or 0.1 percent , to 1,039.32 after sinking 10.75 yesterday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.2692790031433105,0.476212739944458
"Sentence1: Duque will return to Earth Oct. 27 with the station 's current crew , U.S. astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko . Sentence2: Currently living onboard the space station are American astronaut Ed Lu and Russian cosmonaut Yuri Malenchenko .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,0.5134239196777344,4.47450065612793
"Sentence1: Singapore is already the United States ' 12th-largest trading partner , with two-way trade totaling more than $ 34 billion . Sentence2: Although a small city-state , Singapore is the 12th-largest trading partner of the United States , with trade volume of $ 33.4 billion last year .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5123240947723389,3.3035974502563477
"Sentence1: The largest gains were seen in prices , new orders , inventories and exports . Sentence2: Sub-indexes measuring prices , new orders , inventories and exports increased .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.1397573947906494,0.46996259689331055
"Sentence1: Trading in Loral was halted yesterday ; the shares closed on Monday at $ 3.01 . Sentence2: The New York Stock Exchange suspended trading yesterday in Loral , which closed at $ 3.01 Friday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5120654106140137,0.47328782081604004
Sentence1: Earnings per share from recurring operations will be 13 cents to 14 cents . Sentence2: That beat the company 's April earnings forecast of 8 to 9 cents a share .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,0.5110275745391846,0.4732673168182373
"Sentence1: He plans to have dinner with troops at Kosovo 's U.S. military headquarters , Camp Bondsteel . Sentence2: After that , he plans to have dinner at Camp Bondsteel with U.S. troops stationed there .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.511272668838501,0.47353315353393555
Sentence1: Retailers J.C. Penney Co . Inc . ( JCP ) and Walgreen Co . ( WAG ) kick things off on Monday . Sentence2: Retailers J.C. Penney Co . Inc . JCP.N and Walgreen Co . WAG.N kick things off on Monday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,1,1,1.6974360942840576,0.47499752044677734
Sentence1: Prosecutors filed a motion informing Lee they intend to seek the death penalty . Sentence2: He added that prosecutors will seek the death penalty .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,0.38629913330078125,0.4692840576171875
"Sentence1: Last year the court upheld Cleveland 's school voucher program , ruling 5-4 that vouchers are constitutional if they provide parents a choice of religious and secular schools . Sentence2: Last year , the court ruled 5-4 in an Ohio case that government vouchers are constitutional if they provide parents with choices among a range of religious and secular schools .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5129401683807373,4.467259645462036
"Sentence1: He beat testicular cancer that had spread to his lungs and brain . Sentence2: Armstrong , 31 , battled testicular cancer that spread to his brain .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,1,0,0.38729166984558105,0.47054553031921387
"Sentence1: Sorkin , who faces charges of conspiracy to obstruct justice and lying to a grand jury , was to have been tried separately . Sentence2: Sorkin was to have been tried separately on charges of conspiracy and lying to a grand jury .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,4.283944606781006,0.4748365879058838
"Sentence1: Graves reported from Albuquerque , Villafranca from Austin and Ratcliffe from Laredo . Sentence2: Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.510685920715332,0.47400379180908203
"Sentence1: The US chip market is expected to decline 2.1 percent this year , then grow 15.7 percent in 2004 . Sentence2: The Americas market will decline 2.1 percent to $ 30.6 billion in 2003 , and then grow 15.7 percent to $ 35.4 billion in 2004 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,0.5134222507476807,0.4757113456726074
"Sentence1: The group will be headed by State Department official John S. Wolf , who has served in Australia , Vietnam , Greece and Pakistan . Sentence2: The group will be headed by John S. Wolf , an assistant secretary of state who has served in Australia , Vietnam , Greece and Pakistan .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5134050846099854,4.448415994644165
"Sentence1: The commission must work out the plan 's details , but the average residential customer paying $ 840 a year would get a savings of about $ 30 annually . Sentence2: An average residential customer paying $ 840 a year for electricity could see a savings of $ 30 annually .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,0.5131306648254395,0.47466468811035156
"Sentence1: The company has said it plans to restate its earnings for 2000 through 2002 . Sentence2: The company had announced in January that it would have to restate earnings for 2002 , 2001 and perhaps 2000 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5119976997375488,0.4741508960723877
Sentence1: Results from No. 2 U.S. soft drink maker PepsiCo Inc . PEP.N were likely to be in the spotlight . Sentence2: Results from No. 2 U.S. soft drink maker PepsiCo Inc . ( nyse : PEP - news - people ) were likely to be in the spotlight .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,1.6979081630706787,4.471726655960083
"Sentence1: "" The result is an overall package that will provide significant economic growth for our employees over the next four years . "" Sentence2: "" The result is an overall package that will provide a significant economic growth for our employees over the next few years , "" he said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,1.2661056518554688,0.4746129512786865
"Sentence1: The songs are on offer for 99 cents each , or $ 9.99 for an album . Sentence2: The company will offer songs for 99 cents and albums for $ 9.95 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5112636089324951,0.47757720947265625
"Sentence1: However , the talk was downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow accretive . Sentence2: The talk , however , has been downplayed by PBL which said it would focus only on smaller purchases that were immediately earnings and cash flow-accretive .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5121450424194336,0.47525858879089355
Sentence1: Comcast Class A shares were up 8 cents at $ 30.50 in morning trading on the Nasdaq Stock Market . Sentence2: The stock rose 48 cents to $ 30 yesterday in Nasdaq Stock Market trading .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,1,1,0.5115878582000732,4.448147773742676
"Sentence1: The Washington Post said Airlite would shut down its first shift and parts of the second shift Monday to accommodate the president ’ s appearance . Sentence2: The plant plans to shut down its first shift and parts of the second shift Monday to accommodate the president 's appearance , Crosby said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5134351253509521,0.474672794342041
"Sentence1: A former teammate , Carlton Dotson , has been charged with the murder . Sentence2: His body was found July 25 , and former teammate Carlton Dotson has been charged in his shooting death .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,1,0,0.5107290744781494,0.4735829830169678
Sentence1: Several of the questions asked by the audience in the fast-paced forum were new to the candidates . Sentence2: Several of the audience questions were new to the candidates as well .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,1.1394331455230713,2.6227662563323975
"Sentence1: Meanwhile , the global death toll approached 770 with more than 8,300 people sickened since the severe acute respiratory syndrome virus first appeared in southern China in November . Sentence2: The global death toll from SARS was at least 767 , with more than 8,300 people sickened since the virus first appeared in southern China in November .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5129799842834473,4.4709672927856445
"Sentence1: The battles marked day four of a U.S. sweep to hunt down supporters of Saddam Hussein 's fallen regime . Sentence2: Twenty-seven Iraqis were killed , pushing the number of opposition deaths to about 100 in a U.S. operation to hunt down supporters of Saddam Hussein 's fallen regime .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,5.700165748596191,0.47524571418762207
"Sentence1: The women then had follow-up examinations after five , 12 and 24 years . Sentence2: The women had follow-up examinations in 1974-75 , 1980-81 and 1992-93 , but were not asked about stress again .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5124568939208984,0.4748084545135498
Sentence1: The Embraer jets are scheduled to be delivered by September 2006 . Sentence2: The Bombardier and Embraer aircraft will be delivered to U.S. Airways by September 2006 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,0.5113344192504883,0.47409820556640625
"Sentence1: Contrary to what PeopleSoft management would have you believe , Oracle intends to fully support PeopleSoft customers and products for many years to come . "" Sentence2: Ellison said that contrary to the contentions of PeopleSoft management , Oracle intends to "" fully support PeopleSoft customers and products "" for many years to come .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,5.70439887046814,0.4761810302734375
"Sentence1: Application Intelligence will be included as part of the company 's SmartDefense application , which is included with Firewall-1 . Sentence2: The new application intelligence features will be available June 3 and are included with the SmartDefense product , which comes with FireWall-1 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,0.5131876468658447,4.452036142349243
"Sentence1: American Masters : Arthur Miller , Elia Kazan and the Blacklist : None Without Sin ( Wed . Sentence2: Note the subheading of this terrible parable in the "" American Masters "" series , "" Arthur Miller , Elia Kazan and the Blacklist : None Without Sin . "". Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,0,1,0.513613224029541,0.4748547077178955
"Sentence1: The downtime , to take place in May and June , is expected to cut production by 60 million to 70 million board feet . Sentence2: The downtime is expected to take 60 million to 70 million board feet out of the companys system .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,5.690440654754639,4.418109655380249
"Sentence1: On July 3 , Troy is expected to be sentenced to life in prison without parole . Sentence2: Troy faces life in prison without parole at his July 30 sentencing .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.38646435737609863,0.46993017196655273
"Sentence1: The University of Michigan released a new undergraduate admission process Thursday , dropping a point system the U.S. Supreme Court found unconstitutional in June . Sentence2: The University of Michigan released today a new admissions policy after the U.S. Supreme Court struck down in June the way it previously admitted undergraduates .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.2668638229370117,2.938493013381958
"Sentence1: The processors were announced in San Jose at the Intel Developer Forum . Sentence2: The new processor was unveiled at the Intel Developer Forum 2003 in San Jose , Calif .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.386824369430542,0.470048189163208
"Sentence1: The Justice Department filed suit Thursday against the state of Mississippi for failing to end what federal officials call "" disturbing "" abuse of juveniles and "" unconscionable "" conditions at two state-run facilities . Sentence2: The Justice Department filed a civil rights lawsuit Thursday against the state of Mississippi , alleging abuse of juvenile offenders at two state-run facilities .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,1.267284870147705,0.47474145889282227
Sentence1: It said the damage to the wing provided a pathway for hot gasses to penetrate the ship 's thermal armor during Columbia 's ill-fated reentry . Sentence2: The document says the damage to the wing provided a pathway for hot gases to penetrate Columbia 's thermal armour during its fatal re-entry .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,1,1,0.6197869777679443,0.4747474193572998
"Sentence1: Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . "" Sentence2: Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . "". Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.6208140850067139,0.5573229789733887
Sentence1: But Secretary of State Colin Powell brushed off this possibility Wednesday . Sentence2: Secretary of State Colin Powell last week ruled out a non-aggression treaty .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,0,0,0,0,0.3868520259857178,0.4698755741119385
"Sentence1: Thomas and Tauzin say , as do many doctors , that the Bush administration has the power to correct some of those flaws . Sentence2: Like many doctors , Mr. Thomas and Mr. Tauzin say the Bush administration has the power to correct some of those flaws .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.51218581199646,0.47403788566589355
"Sentence1: Based on experience elsewhere , it could take up to two years before regular elections are held , he added . Sentence2: U.S. military officials have said it could take up to two years before regular elections are held , based on experiences elsewhere in the world .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5122115612030029,3.85251784324646
"Sentence1: The first biotechnology treatment for asthma , the constriction of the airways that affects millions around the world , received approval from the US Food and Drug Administration yesterday . Sentence2: The first biotechnology treatment for asthma , the constriction of the airways that affects millions of Americans , received approval from the U.S. Food and Drug Administration on Friday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,3.2108845710754395,3.8509628772735596
"Sentence1: FBI agents arrested a former partner of Big Four accounting firm Ernst & Young ERNY.UL on criminal charges of obstructing federal investigations , U.S. officials said on Thursday . Sentence2: A former partner of accountancy firm Ernst & Young was yesterday arrested by FBI agents in the US on charges of obstructing federal investigations .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,1.2664713859558105,0.47734808921813965
Sentence1: Kelly will begin meetings with Russian Deputy Foreign Minister Alexander Losyukov in Washington on Monday . Sentence2: Russian Deputy Foreign Minister Alexander Losyukov said in Moscow Tuesday a firm date would be fixed by this months end .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,0.5119361877441406,0.4738006591796875
"Sentence1: The latest shooting linked to the spree was a November 11 shooting at Hamilton Central Elementary School in Obetz , about 3km from the freeway . Sentence2: Another shooting linked to the spree occurred Nov. 11 at Hamilton Central Elementary in Obetz , about two miles from the freeway .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5132861137390137,0.47520017623901367
"Sentence1: The Dow Jones Industrial Average ended down 128 points , or 1.4 % , at 9073 , while the Nasdaq fell 34 points , or 2.1 % , to 1610 . Sentence2: In early trading , the Dow Jones industrial average was up 3.90 , or 0.04 percent , at 9,113.75 , having gained 36.90 on Tuesday .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.732328653335571,0.47716617584228516
Sentence1: PDC will also almost certainly fan the flames of speculation about Longhorn 's release . Sentence2: PDC will also almost certainly reignite speculation about release dates of Microsoft 's new products .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,0,0,0.5109128952026367,0.4732241630554199
Sentence1: Sales - a figure watched closely as a barometer of its health - rose 5 percent instead of falling as many industry experts had predicted . Sentence2: It also disclosed that sales -- a figure closely watched by analysts as a barometer of its health -- were significantly higher than industry experts expected .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,1,1,1,1,1,1.2663533687591553,0.5564141273498535
"Sentence1: NEC is pitching its wireless gear and management software to a variety of industries , including health care and hospitality . Sentence2: NEC 's pitching its wireless gear and management software to a variety of industries , including healthcare and hospitality , a company spokesman said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,1,1,0.5122430324554443,0.4738924503326416
"Sentence1: Elena Slough , considered to be the nation 's oldest person and the third oldest person in the world , died early Sunday morning . Sentence2: ELENA Slough , considered to be the oldest person in the US and the third oldest person in the world , has died .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.513037919998169,4.412221908569336
"Sentence1: "" We are declaring war on sexual harassment and sexual assault . Sentence2: "" We have declared war on sexual assault and sexual harassment , "" Rosa said .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,0.38648080825805664,0.46917223930358887
"Sentence1: The technology-laced Nasdaq Composite Index < .IXIC > added 1.92 points , or 0.12 percent , at 1,647.94 . Sentence2: The technology-laced Nasdaq Composite Index .IXIC dipped 0.08 of a point to 1,646 .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,5.702701807022095,0.4744606018066406
"Sentence1: The dollar was at 117.85 yen against the Japanese currency , up 0.1 percent . Sentence2: Against the Swiss franc the dollar was at 1.3289 francs , up 0.5 percent on the day .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5118160247802734,0.4732940196990967
"Sentence1: El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles . Sentence2: El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,1,1,0,0,0.5116734504699707,4.41239595413208
"Sentence1: But Mitsubishi Tokyo Financial ( JP : 8306 : news , chart , profile ) declined 3,000 yen , or 0.65 percent , to 456,000 yen . Sentence2: Sumitomo Mitsui Financial ( JP : 8316 : news , chart , profile ) was down 2.5 percent at 198,000 yen .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,0,1,0,1,0.5135636329650879,0.4750552177429199
"Sentence1: "" We 're just dealing with bragging rights here , who wins and who loses . "" Sentence2: "" Leaving aside attorney fees , we 're dealing with bragging rights of who wins and who loses , "" said Gammerman .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",0,1,0,1,0,0.5117576122283936,0.47393012046813965
"Sentence1: Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading . Sentence2: Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.2672538757324219,0.4744279384613037
Sentence1: This Palm OS smart phone is the last product the company will release before it becomes a part of palmOne . Sentence2: This was almost certainly its last full quarter before the company becomes a part of Palm .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,1,0,0,1,5.683446407318115,4.421111583709717
Sentence1: And they think the protein probably is involved in the spread of other forms of cancer . Sentence2: They researchers say the research could be relevant to other forms of cancer .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,0.387042760848999,0.4702334403991699
"Sentence1: Tokyo Electric Power Co . , Asia 's largest power company , won approval to restart the first of 17 nuclear reactors it shut down after it admitted falsifying inspection reports . Sentence2: Tokyo Electric Power Co . , Asia 's largest power company , restarted the first of 17 nuclear reactors it shut down after admitting it falsified inspection reports .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,1.274092674255371,0.47905969619750977
"Sentence1: Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 . Sentence2: For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,0,0,0.5128529071807861,0.519949197769165
Sentence1: Security lights have also been installed and police have swept the grounds for booby traps . Sentence2: Security lights have also been installed on a barn near the front gate .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.,0,0,1,0,1,1.1516485214233398,5.429835081100464
"Sentence1: He said that with the U.S.-backed peace plan , or road map , “ in a coma , ” the attack could easily widen conflict through the region . Sentence2: Mr Jouejati said that with the US-backed road map "" in a coma "" the attack could easily widen through the region .. Answer only 'Yes' or 'No' based on whether the two sentences have the same meaning.",1,0,0,1,1,1.3060245513916016,0.47455739974975586
